분류,글귀
노력하는 노력하고 노력해서 즐기는 천재는 노력형 꾸준히 꾸준한 꾸준하게 인내하고 인내하는 의지를 의지박약인,천재는 노력하는 사람을 이길 수 없고 노력하는 사람은 즐기는 사람을 이길 수 없다. 롤프 메르쿨레
노력하는 노력하고 노력해서 열심히 성공하고 성공해야 성공할 결과가 결과를 꾸준히 꾸준하게 꾸준한 인내하는,"성공이란 결과로 측정하는 게 아니라, 그것에 소비한 노력의 총계로 따져야 할 것이다. 에디슨"
게으르게 게으르지 게을러 게을러서 게으른 게으름 보상을 보상받고 결과과 결과를 열심히 부지런히 대가를,가장 바쁜 사람이 가장 많은 시간을 갖는다. 부지런히 노력하는 사람이 결국 많은 대가를 얻는다. 알렉산드리아 피네
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 의지를 의지박약인 노력하는 노력하고 성공을 성공할,"의지, 노력, 기다림은 성공의 주춧돌이다. L.파스퇴르"
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 열정이 열정 열심히 꾸준히 꾸준한 참는,인내없는 열정은 광기에 불과하다. 토마스 홉스
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 노력하는 노력하고 목적을 달성하는 달성하고 끈기를,목적을 이루기 위해서 오랜 인내를 하기보다는 눈부신 노력을 하는 편이 쉽다. 라 브뤼에르
인내하고 인내하는 참는 참고 견디는 견뎌 의지를 도전하고 도전 응원하는 노력하는 노력하고,모든 것을 인내로 대하는 사람만이 모든 것에 도전한다. 바우베낙스
노력하는 노력하고 보상을 열정을 열심히 응원받고 응원하고 응원하는 의지를 의지박약인,노력이 적으면 얻는 것도 적다. 인간의 재산은 그의 노고에 달렸다. 헤리크
실천하는 실천하고 실천이 행동이 행동을 실행을 실행하기 용기를 응원받고 계획을 계획하고 계획한 계획해서,추상적인 노력보다 구체적인 계획들을 실천해야 성공한다.
노력하는 노력하고 노력을 성공하고 성공을 믿음을 믿고 열심히 꾸준히 꾸준하게 자신감을 자신감이 자신감,"노력은 성공을 가져다 주는 것은 아니지만, 나를 배신하지는 않을 것이다."
