분류,글귀
노력 즐기 천재 노력형 꾸준 인내 의지,천재는 노력하는 사람을 이길 수 없고 노력하는 사람은 즐기는 사람을 이길 수 없다. 롤프 메르쿨레
노력 열심 성공 결과 구준 인내 의지,"성공이란 결과로 측정하는 게 아니라, 그것에 소비한 노력의 총계로 따져야 할 것이다. 에디슨"
게으르 게을 게으름 보상 결과 열심,가장 바쁜 사람이 가장 많은 시간을 갖는다. 부지런히 노력하는 사람이 결국 많은 대가를 얻는다. 알렉산드리아 피네
인내 참는 의지 노력 성공 실패 기다림,"의지, 노력, 기다림은 성공의 주춧돌이다. 파스퇴르"
인내 열정 열심 꾸준 참는 노력 성공,인내없는 열정은 광기에 불과하다. 토마스 홉스
노력 목적 달성 인내 의지 끈기 성공,목적을 이루기 위해서 오랜 인내를 하기보다는 눈부신 노력을 하는 편이 쉽다. 라 브뤼에르
도전 용기 인내 노력 의지 시작 응원,모든 것을 인내로 대하는 사람만이 모든 것에 도전한다. 바우베낙스
노력 보상 열정 열심 응원 의지,노력이 적으면 얻는 것도 적다. 인간의 재산은 그의 노고에 달렸다. 헤리크
실천 행동 계획 실행 시작 용기 응원,추상적인 노력보다 구체적인 계획들을 실천해야 성공한다.
노력 성공 믿음 열심 자신감,"노력은 성공을 가져다 주는 것은 아니지만, 나를 배신하지는 않을 것이다."
믿음 노력 포기 실행 행동 자신감,당신이 할 수 있다고 믿든 할 수 없다고 믿든 믿는대로 될 것이다. 헨리 포드
믿음 포기 의지 자신감 꾸준 인내 응원,세상에 잘못된 결정은 없다. 끝까지 포기하지 않는다면. 보도 섀퍼
인내 포기 극복 좌절 절망 불안 고민,성공의 비결은 좌절하지 않고 극복하는 데 있다. 발자크
꾸준 노력 행동 실천 의지 매일 실행,매일매일 꾸준하게 노력하고 행동하라. 그랜트 카돈
노력 꾸준 의지 실천 성장 실행 행동,"오늘 당신이 하는 것은, 당신의 내일을 성장시킬 수 있다."
행동 실천 의욕 변화 성장 시작 당장,"오늘 당신의 인생을 변화시켜라. 미래에 모험을 걸려고 하지 말고, 지금 행동하라. 지체 없이."
목표설정 시작 의욕 도전 실행 행동,목표를 설정하는 것은 보이지 않는 것을 보이는 것으로 바꿔주는 첫번째 단계다.
진심 노력 성공 꾸준 인내 열정 의지,당신의 온 마음을 다해 일하면 당신은 성공할 것이다.
성장 힘들 좌절 절망,성장과 편안함은 한 방에 있을 수 없습니다. 조슈아 필즈 밀번
자아성찰 반성,내가 생각해도 한 번쯤 만나보고 싶은 사람이 되세요.
열정 인내 꾸준 포기,포기하고 싶어지면 애초에 왜 그렇게 오래 버텼는지를 기억하세요.
도전 인내 꾸준 포기,"멈추고 싶을 때면, 시작했던 이유를 생각해보세요."
힘든 힘들 후회 나약,"인생에 후회는 없습니다. 당신에게 일어나는 모든 일은 이유가 있습니다. 지나온 힘든 시간은 성격을 만들고, 나를 훨씬 강력한 사람으로 만들어줍니다. 리타 메로"
믿음 의지 의욕,나는 할 수 있고 해낼 겁니다.
생각대로 행동 마인드 마음가짐 마음 태도,사람은 생각하는 대로 됩니다. 사람은 자신이 느끼는 것을 끌어당깁니다. 사람은 상상하는 것을 창조합니다. 부처
자아성찰 반성 마인드 마음가짐 마음 태도,우리는 나이가 들면서 변하는 게 아니다. 보다 자기 다워지는 것이다. 린홀
게으르 게을 게으름 열심 노력,"게으르지 않음은 영원한 삶의 집이요, 게으름은 죽음의 집이다."
의욕 동기 긍정 믿음 마인드 마음가짐 태도,"나는 날마다, 모든 면에서, 점점 더 좋아지고 있다."
인생 의미 타이밍 깨달,인생에 뜻을 세우는데 적당한 때는 없다. 볼드윈
실패 도전 의욕 교훈 명심,실패는 잊어라. 하지만 그것이 준 교훈은 절대 잊으면 안된다. 하버트 개서
행복 불행 슬프 슬픈,"우리는 행복하기 때문에 웃는 게 아니라, 웃기 때문에 행복하다. 윌리엄 제임스"
자아성찰 반성,너 자신이 돼라. 다른 사람은 이미 있으니까. 오스카 와일드
인생 자신감 위로 응원,"인생은 가까이서 보면 비극, 멀리서 보면 희극이다. 찰리 채플린"
시간관리 시간,승자는 시간을 관리하며 살고 패자는 시간에 끌려 산다. 하비스
인생 실수 고민 걱정 불안,인생을 다시 산다면 다음번에는 더 많은 실수를 저지르리라. 나딘 스테어
최고 최상 노력 결과,최고에 도달하려면 최저에서 시작하라. 시루스
배움 인생 긍정,"배움은 의무도, 생존도 아니다. 애드워즈 데밍"
꾸준 노력 인내 행동 실천,행동의 가치는 그 행동을 끝까지 이루는 데 있다. 칭기스칸
실행 행동 실천,아무것도 하지 않으면 아무 일도 일어나지 않는다. 기시미 이치로
실행 행동 실천,일단 시작해라. 나중에 완벽해지면 된다. 론 무어
인생 시간 힘들 힘든,겨울이 오면 봄이 멀지 않으리. 셸리
희망 의욕 자신감 자기애 믿음,내 비장의 무기는 아직 손 안에 있다. 그것은 희망이다. 나폴레옹
위험 도전 용기 실천 실행,가장 큰 위험은 위험 없는 삶이다. 스티븐 코비
미루 미루지 미루고 미뤄서 실천 실행 제때,오늘 할 수 있는 일을 내일로 미루지 마라. 벤자민 프랭클린
위험 인지 도전 용기 응원 위로,위험은 자신이 무엇을 하는지 모르는 데서 온다. 워렌 버핏
인생 사람 인간 인간관계 관계,모든 사람들로부터 사랑받지 않아도 된다. 니체
망설 두려움 불안 걱정 고민,망설이면 두려움만 커진다.
성공 실패 불안 걱정 고민,우리 자신에게 실패를 허락하는 것이 성공을 허락하는 것이다.
현재 지금 노력 의지,미래를 만드는 건 현재다.
믿음 자신감 자기애 자기만족 긍정,못하는 일에 초점 맞추기를 그만하면 자기가 어떤 일을 할 수 있는지 알고 놀라게 될 것이다. 앨릭스 코브
인내 참는 참고,인내가 최상의 미덕이다. 카토
익숙함 익숙 새로움 새로 설레임 설렘 설레,익숙함을 당연하게 생각하지 마세요.
인생 삶 가치 믿음,삶이 가치가 있다고 믿어라. 그러면 그 믿음은 현실이 될 것이다. 윌리엄 제임스
가난 희망 동기 의욕,가난은 가난하다고 느끼는 곳에 존재한다. 에머슨
삶 인생 희망 용기,삶이 있는 한 희망은 있다. 키케로
즐기 피할 수용 받아들,피할 수 없으면 즐겨라. 로버트 엘리엇
실행 행동 실천 노력,계단을 밟아야 계단 위에 올라설 수 있다.
행복 믿음 의욕 의지,행복은 습관이다. 허버드
